season,date,teams,result
1978-1979,22.10.1978,Atalanta-Milan,1-3
1978-1979,22.10.1978,Avellino-Verona,2-0
1978-1979,22.10.1978,Fiorentina-Lazio,3-0
1978-1979,22.10.1978,Inter-Catanzaro,0-0
1978-1979,22.10.1978,Juventus-Perugia,1-2
1978-1979,22.10.1978,Roma-Bologna,2-0
1978-1979,22.10.1978,Vicenza-Napoli,0-0
1978-1979,29.10.1978,Bologna-Juventus,0-0
1978-1979,29.10.1978,Catanzaro-Roma,1-0
1978-1979,29.10.1978,Lazio-Vicenza,4-3
1978-1979,29.10.1978,Milan-Fiorentina,4-1
1978-1979,29.10.1978,Napoli-Atalanta,2-0
1978-1979,29.10.1978,Perugia-Avellino,0-0
1978-1979,29.10.1978,Torino-Inter,3-3
1978-1979,29.10.1978,Verona-Ascoli,2-3
1978-1979,05.11.1978,Ascoli-Lazio,0-0
1978-1979,05.11.1978,Atalanta-Perugia,0-2
1978-1979,05.11.1978,Avellino-Catanzaro,0-0
1978-1979,05.11.1978,Fiorentina-Bologna,1-0
1978-1979,05.11.1978,Inter-Napoli,2-0
1978-1979,05.11.1978,Juventus-Milan,1-0
1978-1979,05.11.1978,Roma-Torino,0-2
1978-1979,05.11.1978,Vicenza-Verona,0-0
1978-1979,12.11.1978,Bologna-Avellino,0-0
1978-1979,12.11.1978,Catanzaro-Fiorentina,0-0
1978-1979,12.11.1978,Lazio-Roma,0-0
1978-1979,12.11.1978,Milan-Inter,1-0
1978-1979,12.11.1978,Napoli-Juventus,0-0
1978-1979,12.11.1978,Perugia-Ascoli,2-0
1978-1979,12.11.1978,Torino-Vicenza,4-0
1978-1979,12.11.1978,Verona-Atalanta,1-1
1978-1979,19.11.1978,Ascoli-Catanzaro,1-1
1978-1979,19.11.1978,Atalanta-Bologna,0-0
1978-1979,19.11.1978,Avellino-Napoli,1-1
1978-1979,19.11.1978,Fiorentina-Verona,1-0
1978-1979,19.11.1978,Inter-Lazio,4-0
1978-1979,19.11.1978,Juventus-Torino,1-1
1978-1979,19.11.1978,Roma-Perugia,0-0
1978-1979,19.11.1978,Vicenza-Milan,2-3
1978-1979,26.11.1978,Avellino-Fiorentina,1-1
1978-1979,26.11.1978,Bologna-Catanzaro,1-1
1978-1979,26.11.1978,Inter-Atalanta,2-2
1978-1979,26.11.1978,Juventus-Ascoli,1-0
1978-1979,26.11.1978,Lazio-Verona,1-0
1978-1979,26.11.1978,Napoli-Milan,1-1
1978-1979,26.11.1978,Perugia-Torino,0-0
1978-1979,26.11.1978,Vicenza-Roma,1-0
1978-1979,03.12.1978,Ascoli-Inter,1-2
1978-1979,03.12.1978,Atalanta-Juventus,0-1
1978-1979,03.12.1978,Catanzaro-Lazio,3-1
1978-1979,03.12.1978,Fiorentina-Vicenza,0-0
1978-1979,03.12.1978,Milan-Perugia,1-1
1978-1979,03.12.1978,Roma-Avellino,2-1
1978-1979,03.12.1978,Torino-Napoli,0-0
1978-1979,03.12.1978,Verona-Bologna,1-0
1978-1979,10.12.1978,Ascoli-Atalanta,1-0
1978-1979,10.12.1978,Catanzaro-Verona,1-1
1978-1979,10.12.1978,Fiorentina-Roma,2-0
1978-1979,10.12.1978,Juventus-Inter,1-1
1978-1979,10.12.1978,Lazio-Bologna,1-0
1978-1979,10.12.1978,Milan-Torino,1-0
1978-1979,10.12.1978,Napoli-Perugia,1-1
1978-1979,11.12.1978,Vicenza-Avellino,2-1
1978-1979,17.12.1978,Atalanta-Fiorentina,0-0
1978-1979,17.12.1978,Avellino-Ascoli,3-1
1978-1979,17.12.1978,Bologna-Napoli,1-1
1978-1979,17.12.1978,Inter-Vicenza,0-0
1978-1979,17.12.1978,Perugia-Catanzaro,1-0
1978-1979,17.12.1978,Roma-Juventus,1-0
1978-1979,17.12.1978,Torino-Lazio,2-2
1978-1979,17.12.1978,Verona-Milan,1-3
1978-1979,07.01.1979,Avellino-Atalanta,0-0
1978-1979,07.01.1979,Fiorentina-Juventus,0-1
1978-1979,07.01.1979,Milan-Catanzaro,4-0
1978-1979,07.01.1979,Napoli-Lazio,0-2
1978-1979,07.01.1979,Perugia-Verona,1-1
1978-1979,07.01.1979,Roma-Inter,1-1
1978-1979,07.01.1979,Torino-Bologna,3-1
1978-1979,07.01.1979,Vicenza-Ascoli,1-1
1978-1979,14.01.1979,Ascoli-Fiorentina,2-1
1978-1979,14.01.1979,Atalanta-Roma,2-0
1978-1979,14.01.1979,Bologna-Milan,0-1
1978-1979,14.01.1979,Catanzaro-Napoli,0-0
1978-1979,14.01.1979,Inter-Avellino,2-0
1978-1979,14.01.1979,Juventus-Vicenza,1-2
1978-1979,14.01.1979,Lazio-Perugia,0-0
1978-1979,14.01.1979,Verona-Torino,0-1
1978-1979,21.01.1979,Avellino-Juventus,0-0
1978-1979,21.01.1979,Fiorentina-Inter,1-2
1978-1979,21.01.1979,Milan-Lazio,2-0
1978-1979,21.01.1979,Napoli-Verona,1-0
1978-1979,21.01.1979,Perugia-Bologna,3-1
1978-1979,21.01.1979,Roma-Ascoli,1-0
1978-1979,21.01.1979,Torino-Catanzaro,3-0
1978-1979,21.01.1979,Vicenza-Atalanta,1-1
1978-1979,28.01.1979,Ascoli-Napoli,0-0
1978-1979,28.01.1979,Atalanta-Catanzaro,0-2
1978-1979,28.01.1979,Avellino-Milan,1-0
1978-1979,28.01.1979,Fiorentina-Torino,0-0
1978-1979,28.01.1979,Inter-Bologna,0-0
1978-1979,28.01.1979,Juventus-Lazio,2-1
1978-1979,28.01.1979,Roma-Verona,2-0
1978-1979,28.01.1979,Vicenza-Perugia,1-1
1978-1979,04.02.1979,Bologna-Ascoli,0-0
1978-1979,04.02.1979,Catanzaro-Vicenza,2-0
1978-1979,04.02.1979,Lazio-Avellino,0-0
1978-1979,04.02.1979,Milan-Roma,1-0
1978-1979,04.02.1979,Napoli-Fiorentina,0-0
1978-1979,04.02.1979,Perugia-Inter,2-2
1978-1979,04.02.1979,Torino-Atalanta,3-0
1978-1979,04.02.1979,Verona-Juventus,0-3
1978-1979,11.02.1979,Ascoli-Milan,0-1
1978-1979,11.02.1979,Atalanta-Lazio,0-0
1978-1979,11.02.1979,Avellino-Torino,1-1
1978-1979,11.02.1979,Fiorentina-Perugia,1-1
1978-1979,11.02.1979,Inter-Verona,4-0
1978-1979,11.02.1979,Juventus-Catanzaro,3-1
1978-1979,11.02.1979,Roma-Napoli,0-0
1978-1979,11.02.1979,Vicenza-Bologna,2-2
1978-1979,18.02.1979,Bologna-Roma,1-2
1978-1979,18.02.1979,Catanzaro-Inter,1-1
1978-1979,18.02.1979,Lazio-Fiorentina,4-0
1978-1979,18.02.1979,Milan-Atalanta,1-1
1978-1979,18.02.1979,Napoli-Vicenza,2-2
1978-1979,18.02.1979,Perugia-Juventus,0-0
1978-1979,18.02.1979,Torino-Ascoli,3-1
1978-1979,18.02.1979,Verona-Avellino,0-1
1978-1979,04.03.1979,Ascoli-Verona,1-0
1978-1979,04.03.1979,Atalanta-Napoli,2-1
1978-1979,04.03.1979,Avellino-Perugia,0-1
1978-1979,04.03.1979,Fiorentina-Milan,2-3
1978-1979,04.03.1979,Inter-Torino,0-0
1978-1979,04.03.1979,Juventus-Bologna,1-1
1978-1979,04.03.1979,Roma-Catanzaro,1-3
1978-1979,04.03.1979,Vicenza-Lazio,4-1
1978-1979,11.03.1979,Bologna-Fiorentina,0-0
1978-1979,11.03.1979,Catanzaro-Avellino,0-0
1978-1979,11.03.1979,Lazio-Ascoli,3-1
1978-1979,11.03.1979,Milan-Juventus,0-0
1978-1979,11.03.1979,Napoli-Inter,0-0
1978-1979,11.03.1979,Perugia-Atalanta,2-0
1978-1979,11.03.1979,Torino-Roma,1-0
1978-1979,11.03.1979,Verona-Vicenza,0-0
1978-1979,18.03.1979,Ascoli-Perugia,0-0
1978-1979,18.03.1979,Atalanta-Verona,1-0
1978-1979,18.03.1979,Avellino-Bologna,0-0
1978-1979,18.03.1979,Fiorentina-Catanzaro,1-1
1978-1979,18.03.1979,Inter-Milan,2-2
1978-1979,18.03.1979,Juventus-Napoli,1-0
1978-1979,18.03.1979,Roma-Lazio,1-2
1978-1979,18.03.1979,Vicenza-Torino,2-2
1978-1979,25.03.1979,Bologna-Atalanta,1-0
1978-1979,25.03.1979,Catanzaro-Ascoli,1-1
1978-1979,25.03.1979,Lazio-Inter,1-1
1978-1979,25.03.1979,Milan-Vicenza,0-0
1978-1979,25.03.1979,Napoli-Avellino,3-0
1978-1979,25.03.1979,Perugia-Roma,1-1
1978-1979,25.03.1979,Torino-Juventus,0-1
1978-1979,25.03.1979,Verona-Fiorentina,0-1
1978-1979,01.04.1979,Ascoli-Juventus,1-0
1978-1979,01.04.1979,Atalanta-Inter,0-1
1978-1979,01.04.1979,Catanzaro-Bologna,0-0
1978-1979,01.04.1979,Fiorentina-Avellino,1-0
1978-1979,01.04.1979,Milan-Napoli,0-1
1978-1979,01.04.1979,Roma-Vicenza,3-0
1978-1979,01.04.1979,Torino-Perugia,0-0
1978-1979,01.04.1979,Verona-Lazio,2-0
1978-1979,08.04.1979,Avellino-Roma,0-0
1978-1979,08.04.1979,Bologna-Verona,1-0
1978-1979,08.04.1979,Inter-Ascoli,1-1
1978-1979,08.04.1979,Juventus-Atalanta,3-0
1978-1979,08.04.1979,Lazio-Catanzaro,3-1
1978-1979,08.04.1979,Napoli-Torino,0-1
1978-1979,08.04.1979,Perugia-Milan,1-1
1978-1979,08.04.1979,Vicenza-Fiorentina,0-1
1978-1979,14.04.1979,Atalanta-Ascoli,3-2
1978-1979,14.04.1979,Avellino-Vicenza,2-1
1978-1979,14.04.1979,Bologna-Lazio,2-1
1978-1979,14.04.1979,Inter-Juventus,2-1
1978-1979,14.04.1979,Perugia-Napoli,2-0
1978-1979,14.04.1979,Roma-Fiorentina,1-1
1978-1979,14.04.1979,Torino-Milan,0-3
1978-1979,14.04.1979,Verona-Catanzaro,0-0
1978-1979,22.04.1979,Ascoli-Avellino,2-0
1978-1979,22.04.1979,Catanzaro-Perugia,1-1
1978-1979,22.04.1979,Fiorentina-Atalanta,0-1
1978-1979,22.04.1979,Juventus-Roma,4-1
1978-1979,22.04.1979,Lazio-Torino,0-0
1978-1979,22.04.1979,Milan-Verona,2-1
1978-1979,22.04.1979,Napoli-Bologna,2-1
1978-1979,22.04.1979,Vicenza-Inter,0-1
1978-1979,29.04.1979,Ascoli-Vicenza,0-0
1978-1979,29.04.1979,Atalanta-Avellino,0-0
1978-1979,29.04.1979,Bologna-Torino,1-1
1978-1979,29.04.1979,Catanzaro-Milan,1-3
1978-1979,29.04.1979,Inter-Roma,1-2
1978-1979,29.04.1979,Juventus-Fiorentina,1-1
1978-1979,29.04.1979,Lazio-Napoli,1-2
1978-1979,29.04.1979,Verona-Perugia,1-1
1978-1979,06.05.1979,Avellino-Inter,1-0
1978-1979,06.05.1979,Fiorentina-Ascoli,1-0
1978-1979,06.05.1979,Milan-Bologna,0-0
1978-1979,06.05.1979,Napoli-Catanzaro,1-0
1978-1979,06.05.1979,Perugia-Lazio,2-0
1978-1979,06.05.1979,Roma-Atalanta,2-2
1978-1979,06.05.1979,Torino-Verona,0-0
1978-1979,06.05.1979,Vicenza-Juventus,1-1
1978-1979,13.05.1979,Ascoli-Roma,0-0
1978-1979,13.05.1979,Atalanta-Vicenza,2-0
1978-1979,13.05.1979,Bologna-Perugia,2-2
1978-1979,13.05.1979,Catanzaro-Torino,2-1
1978-1979,13.05.1979,Inter-Fiorentina,1-2
1978-1979,13.05.1979,Juventus-Avellino,3-3
1978-1979,13.05.1979,Lazio-Milan,1-1
1978-1979,13.05.1979,Verona-Napoli,0-0
1979-1980,16.09.1979,Ascoli-Napoli,0-0
1979-1980,16.09.1979,Avellino-Lazio,0-0
1979-1980,16.09.1979,Cagliari-Torino,0-0
1979-1980,16.09.1979,Fiorentina-Udinese,1-1
1979-1980,16.09.1979,Inter-Pescara,2-0
1979-1980,16.09.1979,Juventus-Bologna,1-1
1979-1980,16.09.1979,Perugia-Catanzaro,0-0
1979-1980,16.09.1979,Roma-Milan,0-0
1979-1980,23.09.1979,Bologna-Perugia,1-1
1979-1980,23.09.1979,Catanzaro-Juventus,0-1
1979-1980,23.09.1979,Lazio-Fiorentina,2-0
1979-1980,23.09.1979,Milan-Avellino,1-0
1979-1980,23.09.1979,Napoli-Cagliari,0-0
1979-1980,23.09.1979,Pescara-Roma,2-3
1979-1980,23.09.1979,Torino-Ascoli,1-0
1979-1980,23.09.1979,Udinese-Inter,1-1
1979-1980,30.09.1979,Ascoli-Catanzaro,2-2
1979-1980,30.09.1979,Avellino-Torino,0-2
1979-1980,30.09.1979,Cagliari-Milan,0-0
1979-1980,30.09.1979,Fiorentina-Napoli,0-0
1979-1980,30.09.1979,Inter-Lazio,2-1
1979-1980,30.09.1979,Juventus-Pescara,3-0
1979-1980,30.09.1979,Perugia-Udinese,2-0
1979-1980,30.09.1979,Roma-Bologna,1-2
1979-1980,07.10.1979,Bologna-Inter,1-2
1979-1980,07.10.1979,Catanzaro-Avellino,0-0
1979-1980,07.10.1979,Lazio-Perugia,1-1
1979-1980,07.10.1979,Milan-Juventus,2-1
1979-1980,07.10.1979,Napoli-Roma,3-0
1979-1980,07.10.1979,Pescara-Ascoli,0-0
1979-1980,07.10.1979,Torino-Fiorentina,1-1
1979-1980,07.10.1979,Udinese-Cagliari,1-1
1979-1980,14.10.1979,Ascoli-Lazio,1-1
1979-1980,14.10.1979,Avellino-Bologna,1-0
1979-1980,14.10.1979,Cagliari-Catanzaro,1-0
1979-1980,14.10.1979,Fiorentina-Pescara,2-0
1979-1980,14.10.1979,Inter-Napoli,1-0
1979-1980,14.10.1979,Juventus-Udinese,1-1
1979-1980,14.10.1979,Perugia-Milan,1-1
1979-1980,14.10.1979,Roma-Torino,1-1
1979-1980,21.10.1979,Bologna-Fiorentina,2-1
1979-1980,21.10.1979,Catanzaro-Inter,0-0
1979-1980,21.10.1979,Lazio-Cagliari,1-1
1979-1980,21.10.1979,Milan-Ascoli,3-0
1979-1980,21.10.1979,Napoli-Perugia,1-1
1979-1980,21.10.1979,Pescara-Avellino,1-1
1979-1980,21.10.1979,Torino-Juventus,1-2
1979-1980,21.10.1979,Udinese-Roma,0-0
1979-1980,28.10.1979,Ascoli-Bologna,2-0
1979-1980,28.10.1979,Avellino-Udinese,0-0
1979-1980,28.10.1979,Cagliari-Pescara,1-0
1979-1980,28.10.1979,Fiorentina-Catanzaro,3-0
1979-1980,28.10.1979,Inter-Milan,2-0
1979-1980,28.10.1979,Juventus-Napoli,1-0
1979-1980,28.10.1979,Perugia-Torino,0-2
1979-1980,28.10.1979,Roma-Lazio,1-1
1979-1980,04.11.1979,Bologna-Cagliari,0-1
1979-1980,04.11.1979,Catanzaro-Roma,2-2
1979-1980,04.11.1979,Lazio-Juventus,1-0
1979-1980,04.11.1979,Milan-Fiorentina,2-0
1979-1980,04.11.1979,Napoli-Avellino,0-1
1979-1980,04.11.1979,Pescara-Perugia,1-1
1979-1980,04.11.1979,Torino-Inter,0-0
1979-1980,04.11.1979,Udinese-Ascoli,3-1
1979-1980,11.11.1979,Ascoli-Fiorentina,1-0
1979-1980,11.11.1979,Bologna-Catanzaro,4-1
1979-1980,11.11.1979,Cagliari-Avellino,1-1
1979-1980,11.11.1979,Inter-Juventus,4-0
1979-1980,11.11.1979,Lazio-Pescara,2-0
1979-1980,11.11.1979,Napoli-Udinese,1-0
1979-1980,11.11.1979,Perugia-Roma,3-1
1979-1980,11.11.1979,Torino-Milan,0-1
1979-1980,25.11.1979,Avellino-Inter,0-0
1979-1980,25.11.1979,Catanzaro-Lazio,2-1
1979-1980,25.11.1979,Fiorentina-Perugia,0-0
1979-1980,25.11.1979,Juventus-Cagliari,1-0
1979-1980,12.12.1979,Milan-Napoli,1-2
1979-1980,25.11.1979,Pescara-Bologna,0-0
1979-1980,25.11.1979,Roma-Ascoli,1-0
1979-1980,25.11.1979,Udinese-Torino,0-1
1979-1980,02.12.1979,Avellino-Juventus,1-0
1979-1980,02.12.1979,Bologna-Lazio,1-0
1979-1980,02.12.1979,Cagliari-Inter,1-1
1979-1980,02.12.1979,Milan-Udinese,0-0
1979-1980,02.12.1979,Perugia-Ascoli,0-0
1979-1980,02.12.1979,Pescara-Napoli,1-0
1979-1980,02.12.1979,Roma-Fiorentina,2-1
1979-1980,02.12.1979,Torino-Catanzaro,0-0
1979-1980,09.12.1979,Ascoli-Avellino,0-0
1979-1980,09.12.1979,Bologna-Milan,0-1
1979-1980,09.12.1979,Cagliari-Fiorentina,2-1
1979-1980,09.12.1979,Catanzaro-Pescara,1-1
1979-1980,09.12.1979,Inter-Perugia,3-2
1979-1980,09.12.1979,Juventus-Roma,2-0
1979-1980,09.12.1979,Lazio-Udinese,0-0
1979-1980,09.12.1979,Napoli-Torino,1-0
1979-1980,16.12.1979,Ascoli-Cagliari,1-0
1979-1980,16.12.1979,Fiorentina-Avellino,3-0
1979-1980,16.12.1979,Milan-Catanzaro,0-0
1979-1980,16.12.1979,Napoli-Lazio,0-0
1979-1980,16.12.1979,Perugia-Juventus,1-0
1979-1980,16.12.1979,Roma-Inter,1-0
1979-1980,16.12.1979,Torino-Pescara,2-0
1979-1980,16.12.1979,Udinese-Bologna,0-2
1979-1980,30.12.1979,Avellino-Perugia,2-2
1979-1980,30.12.1979,Bologna-Napoli,0-0
1979-1980,30.12.1979,Cagliari-Roma,1-3
1979-1980,30.12.1979,Catanzaro-Udinese,1-1
1979-1980,30.12.1979,Inter-Fiorentina,0-0
1979-1980,30.12.1979,Juventus-Ascoli,2-3
1979-1980,30.12.1979,Lazio-Torino,2-1
1979-1980,30.12.1979,Pescara-Milan,2-1
1979-1980,06.01.1980,Ascoli-Inter,1-1
1979-1980,06.01.1980,Fiorentina-Juventus,2-1
1979-1980,06.01.1980,Milan-Lazio,2-1
1979-1980,06.01.1980,Napoli-Catanzaro,1-1
1979-1980,06.01.1980,Perugia-Cagliari,1-0
1979-1980,06.01.1980,Roma-Avellino,1-1
1979-1980,06.01.1980,Torino-Bologna,0-0
1979-1980,06.01.1980,Udinese-Pescara,2-1
1979-1980,13.01.1980,Bologna-Juventus,1-1
1979-1980,13.01.1980,Catanzaro-Perugia,2-1
1979-1980,13.01.1980,Lazio-Avellino,1-1
1979-1980,13.01.1980,Milan-Roma,0-0
1979-1980,13.01.1980,Napoli-Ascoli,1-0
1979-1980,13.01.1980,Pescara-Inter,0-2
1979-1980,13.01.1980,Torino-Cagliari,0-0
1979-1980,13.01.1980,Udinese-Fiorentina,2-2
1979-1980,20.01.1980,Ascoli-Torino,1-0
1979-1980,20.01.1980,Avellino-Milan,1-0
1979-1980,20.01.1980,Cagliari-Napoli,1-0
1979-1980,20.01.1980,Fiorentina-Lazio,0-0
1979-1980,20.01.1980,Inter-Udinese,2-1
1979-1980,20.01.1980,Juventus-Catanzaro,1-0
1979-1980,20.01.1980,Perugia-Bologna,1-1
1979-1980,20.01.1980,Roma-Pescara,2-0
1979-1980,27.01.1980,Bologna-Roma,1-1
1979-1980,27.01.1980,Catanzaro-Ascoli,1-1
1979-1980,27.01.1980,Lazio-Inter,0-0
1979-1980,27.01.1980,Milan-Cagliari,2-0
1979-1980,27.01.1980,Napoli-Fiorentina,0-0
1979-1980,27.01.1980,Pescara-Juventus,0-2
1979-1980,27.01.1980,Torino-Avellino,2-2
1979-1980,27.01.1980,Udinese-Perugia,1-2
1979-1980,03.02.1980,Ascoli-Pescara,3-1
1979-1980,03.02.1980,Avellino-Catanzaro,2-0
1979-1980,03.02.1980,Cagliari-Udinese,3-1
1979-1980,03.02.1980,Fiorentina-Torino,1-0
1979-1980,03.02.1980,Inter-Bologna,0-0
1979-1980,03.02.1980,Juventus-Milan,2-1
1979-1980,03.02.1980,Perugia-Lazio,0-0
1979-1980,03.02.1980,Roma-Napoli,0-0
1979-1980,10.02.1980,Bologna-Avellino,1-0
1979-1980,10.02.1980,Catanzaro-Cagliari,1-0
1979-1980,10.02.1980,Lazio-Ascoli,0-1
1979-1980,10.02.1980,Milan-Perugia,1-0
1979-1980,10.02.1980,Napoli-Inter,3-4
1979-1980,10.02.1980,Pescara-Fiorentina,1-2
1979-1980,10.02.1980,Torino-Roma,1-0
1979-1980,10.02.1980,Udinese-Juventus,1-3
1979-1980,24.02.1980,Ascoli-Milan,0-0
1979-1980,24.02.1980,Avellino-Pescara,2-0
1979-1980,24.02.1980,Cagliari-Lazio,1-1
1979-1980,24.02.1980,Fiorentina-Bologna,0-0
1979-1980,24.02.1980,Inter-Catanzaro,3-1
1979-1980,24.02.1980,Juventus-Torino,0-0
1979-1980,24.02.1980,Perugia-Napoli,1-0
1979-1980,24.02.1980,Roma-Udinese,1-1
1979-1980,02.03.1980,Bologna-Ascoli,0-0
1979-1980,02.03.1980,Catanzaro-Fiorentina,0-1
1979-1980,02.03.1980,Lazio-Roma,1-2
1979-1980,02.03.1980,Milan-Inter,0-1
1979-1980,02.03.1980,Napoli-Juventus,0-0
1979-1980,02.03.1980,Pescara-Cagliari,2-0
1979-1980,02.03.1980,Torino-Perugia,2-0
1979-1980,02.03.1980,Udinese-Avellino,0-1
1979-1980,09.03.1980,Ascoli-Udinese,3-0
1979-1980,09.03.1980,Avellino-Napoli,2-3
1979-1980,09.03.1980,Cagliari-Bologna,1-0
1979-1980,09.03.1980,Fiorentina-Milan,1-1
1979-1980,09.03.1980,Inter-Torino,1-1
1979-1980,09.03.1980,Juventus-Lazio,0-0
1979-1980,09.03.1980,Perugia-Pescara,1-0
1979-1980,09.03.1980,Roma-Catanzaro,1-0
1979-1980,23.03.1980,Avellino-Cagliari,2-2
1979-1980,23.03.1980,Catanzaro-Bologna,0-0
1979-1980,23.03.1980,Fiorentina-Ascoli,3-1
1979-1980,23.03.1980,Juventus-Inter,2-0
1979-1980,23.03.1980,Milan-Torino,0-2
1979-1980,23.03.1980,Pescara-Lazio,2-0
1979-1980,23.03.1980,Roma-Perugia,4-0
1979-1980,23.03.1980,Udinese-Napoli,0-0
1979-1980,30.03.1980,Ascoli-Roma,3-0
1979-1980,30.03.1980,Bologna-Pescara,0-0
1979-1980,30.03.1980,Cagliari-Juventus,2-1
1979-1980,30.03.1980,Inter-Avellino,3-0
1979-1980,30.03.1980,Lazio-Catanzaro,2-0
1979-1980,30.03.1980,Napoli-Milan,0-1
1979-1980,30.03.1980,Perugia-Fiorentina,1-2
1979-1980,30.03.1980,Torino-Udinese,1-1
1979-1980,05.04.1980,Ascoli-Perugia,1-0
1979-1980,05.04.1980,Catanzaro-Torino,0-0
1979-1980,05.04.1980,Fiorentina-Roma,3-1
1979-1980,05.04.1980,Inter-Cagliari,3-3
1979-1980,05.04.1980,Juventus-Avellino,2-0
1979-1980,05.04.1980,Lazio-Bologna,0-1
1979-1980,05.04.1980,Napoli-Pescara,2-0
1979-1980,05.04.1980,Udinese-Milan,2-1
1979-1980,13.04.1980,Avellino-Ascoli,2-2
1979-1980,13.04.1980,Fiorentina-Cagliari,1-1
1979-1980,13.04.1980,Milan-Bologna,4-0
1979-1980,13.04.1980,Perugia-Inter,0-0
1979-1980,13.04.1980,Pescara-Catanzaro,1-1
1979-1980,13.04.1980,Roma-Juventus,1-3
1979-1980,12.04.1980,Torino-Napoli,0-0
1979-1980,13.04.1980,Udinese-Lazio,1-1
1979-1980,27.04.1980,Avellino-Fiorentina,0-2
1979-1980,27.04.1980,Bologna-Udinese,2-1
1979-1980,27.04.1980,Cagliari-Ascoli,1-1
1979-1980,27.04.1980,Catanzaro-Milan,0-3
1979-1980,27.04.1980,Inter-Roma,2-2
1979-1980,27.04.1980,Juventus-Perugia,3-0
1979-1980,27.04.1980,Lazio-Napoli,1-1
1979-1980,27.04.1980,Pescara-Torino,0-2
1979-1980,04.05.1980,Ascoli-Juventus,2-3
1979-1980,04.05.1980,Fiorentina-Inter,0-2
1979-1980,04.05.1980,Milan-Pescara,3-1
1979-1980,04.05.1980,Napoli-Bologna,1-1
1979-1980,04.05.1980,Perugia-Avellino,2-1
1979-1980,04.05.1980,Roma-Cagliari,1-1
1979-1980,04.05.1980,Torino-Lazio,1-0
1979-1980,04.05.1980,Udinese-Catanzaro,1-2
1979-1980,11.05.1980,Avellino-Roma,0-1
1979-1980,11.05.1980,Bologna-Torino,1-2
1979-1980,11.05.1980,Cagliari-Perugia,1-2
1979-1980,11.05.1980,Catanzaro-Napoli,2-0
1979-1980,11.05.1980,Inter-Ascoli,2-4
1979-1980,11.05.1980,Juventus-Fiorentina,3-0
1979-1980,11.05.1980,Lazio-Milan,0-2
1979-1980,11.05.1980,Pescara-Udinese,1-1
1980-1981,14.09.1980,Bologna-Ascoli,1-0
1980-1981,14.09.1980,Brescia-Avellino,1-2
1980-1981,14.09.1980,Cagliari-Juventus,1-1
1980-1981,14.09.1980,Como-Roma,0-1
1980-1981,14.09.1980,Fiorentina-Perugia,1-0
1980-1981,14.09.1980,Napoli-Catanzaro,1-1
1980-1981,14.09.1980,Torino-Pistoiese,1-0
1980-1981,14.09.1980,Udinese-Inter,0-4
1980-1981,21.09.1980,Ascoli-Napoli,3-2
1980-1981,21.09.1980,Avellino-Fiorentina,2-3
1980-1981,21.09.1980,Catanzaro-Torino,1-0
1980-1981,21.09.1980,Inter-Cagliari,4-1
1980-1981,21.09.1980,Juventus-Como,2-0
1980-1981,21.09.1980,Perugia-Bologna,0-0
1980-1981,21.09.1980,Pistoiese-Udinese,1-1
1980-1981,21.09.1980,Roma-Brescia,1-0
1980-1981,28.09.1980,Bologna-Roma,1-1
1980-1981,28.09.1980,Brescia-Juventus,1-1
1980-1981,28.09.1980,Cagliari-Ascoli,2-0
1980-1981,28.09.1980,Como-Inter,1-0
1980-1981,28.09.1980,Fiorentina-Catanzaro,1-1
1980-1981,28.09.1980,Napoli-Pistoiese,1-0
1980-1981,28.09.1980,Torino-Avellino,2-0
1980-1981,28.09.1980,Udinese-Perugia,1-1
1980-1981,05.10.1980,Ascoli-Perugia,0-3
1980-1981,05.10.1980,Avellino-Cagliari,2-1
1980-1981,05.10.1980,Catanzaro-Como,2-0
1980-1981,05.10.1980,Inter-Napoli,3-0
1980-1981,05.10.1980,Juventus-Bologna,0-1
1980-1981,05.10.1980,Pistoiese-Brescia,1-0
1980-1981,05.10.1980,Roma-Torino,2-0
1980-1981,05.10.1980,Udinese-Fiorentina,0-0
1980-1981,19.10.1980,Ascoli-Juventus,0-0
1980-1981,19.10.1980,Bologna-Pistoiese,2-0
1980-1981,19.10.1980,Brescia-Catanzaro,1-1
1980-1981,19.10.1980,Como-Udinese,2-0
1980-1981,19.10.1980,Fiorentina-Inter,0-0
1980-1981,19.10.1980,Napoli-Roma,4-0
1980-1981,19.10.1980,Perugia-Avellino,0-0
1980-1981,19.10.1980,Torino-Cagliari,1-2
1980-1981,26.10.1980,Avellino-Como,2-1
1980-1981,26.10.1980,Brescia-Fiorentina,0-0
1980-1981,26.10.1980,Cagliari-Napoli,0-0
1980-1981,26.10.1980,Catanzaro-Perugia,0-1
1980-1981,26.10.1980,Inter-Roma,2-4
1980-1981,26.10.1980,Juventus-Torino,1-2
1980-1981,26.10.1980,Pistoiese-Ascoli,0-1
1980-1981,26.10.1980,Udinese-Bologna,1-1
1980-1981,09.11.1980,Ascoli-Udinese,1-0
1980-1981,09.11.1980,Bologna-Brescia,0-1
1980-1981,09.11.1980,Fiorentina-Cagliari,0-0
1980-1981,09.11.1980,Inter-Pistoiese,2-0
1980-1981,09.11.1980,Napoli-Avellino,1-0
1980-1981,09.11.1980,Perugia-Juventus,0-0
1980-1981,09.11.1980,Roma-Catanzaro,0-0
1980-1981,09.11.1980,Torino-Como,1-1
1980-1981,23.11.1980,Avellino-Ascoli,4-2
1980-1981,23.11.1980,Bologna-Napoli,1-1
